record_id,sensor_id,location,soil_moisture_percent,temperature_celsius,humidity_percent,timestamp,status,battery_voltage,irrigation_action
1,SENSOR_4,Farm B,25.6,29.9,41.1,2025-07-03 04:32:45,Wet,3.62,Reduce Irrigation
2,SENSOR_1,Farm A,57.29,27.1,62.5,2025-07-01 00:30:45,Critical Low,3.58,Reduce Irrigation
3,SENSOR_9,Farm C,45.26,23.3,82.4,2025-07-03 10:39:45,Dry,3.03,None
4,SENSOR_8,Farm C,37.93,31.8,73.9,2025-06-30 23:43:45,Dry,3.41,Irrigate
5,SENSOR_8,Farm A,13.58,29.6,78.4,2025-07-04 03:53:45,Dry,3.46,Reduce Irrigation
6,SENSOR_5,Farm B,13.58,20.8,69.5,2025-07-04 04:03:45,Dry,3.48,Irrigate
7,SENSOR_4,Farm C,8.19,33.5,71.5,2025-07-07 06:41:45,Normal,3.7,None
8,SENSOR_18,Farm B,52.64,32.0,81.0,2025-07-03 00:36:45,Wet,3.64,Irrigate
9,SENSOR_3,Farm B,38.06,34.1,45.0,2025-07-04 09:43:45,Normal,3.73,Reduce Irrigation
10,SENSOR_19,Farm B,43.94,30.3,59.4,2025-07-07 10:28:45,Critical High,3.92,Reduce Irrigation
11,SENSOR_14,Farm A,6.13,28.4,43.3,2025-07-01 02:08:45,Critical High,3.98,Irrigate
12,SENSOR_2,Farm A,58.35,25.1,89.3,2025-07-06 23:17:45,Critical High,3.86,Reduce Irrigation
13,SENSOR_1,Farm B,50.78,33.9,86.6,2025-06-30 15:05:45,Normal,4.15,Irrigate
14,SENSOR_3,Farm D,16.68,32.7,32.4,2025-07-01 21:02:45,Wet,3.02,Reduce Irrigation
15,SENSOR_7,Farm A,15.0,18.8,72.3,2025-07-04 06:31:45,Critical High,3.23,Reduce Irrigation
16,SENSOR_8,Farm D,15.09,18.4,85.5,2025-07-04 21:50:45,Dry,3.01,Reduce Irrigation
17,SENSOR_17,Farm D,21.73,24.4,40.8,2025-06-30 14:54:45,Critical High,3.78,Irrigate
18,SENSOR_20,Farm B,33.86,31.8,64.1,2025-07-03 12:28:45,Critical Low,4.08,Reduce Irrigation
19,SENSOR_1,Farm D,28.76,34.8,84.9,2025-07-05 00:52:45,Dry,3.29,Reduce Irrigation
20,SENSOR_18,Farm D,21.02,20.6,32.0,2025-07-05 08:45:45,Dry,4.11,Irrigate
21,SENSOR_7,Farm D,38.65,28.1,71.8,2025-07-04 16:14:45,Dry,3.07,Irrigate
22,SENSOR_18,Farm B,12.67,24.5,47.8,2025-07-05 23:20:45,Critical High,4.12,None
23,SENSOR_14,Farm B,21.07,34.5,85.5,2025-07-06 10:09:45,Dry,3.42,Irrigate
24,SENSOR_8,Farm A,25.15,32.3,88.3,2025-07-07 01:55:45,Critical Low,3.12,Irrigate
25,SENSOR_15,Farm A,30.08,32.3,86.7,2025-07-04 00:19:45,Normal,3.58,Reduce Irrigation
